policy_name,dataset_name,budget,num_workups,top1_count,top1,top3_count,top3,top5_count,top5,wins_vs_current,regressions_vs_current,changed_predictions,mean_questions,candidate_pool_recall
selected_logistic_resolver_validate,icraft_md,10,20,17,0.85,20,1.0,20,1.0,0,0,0,4.4,1.0
selected_logistic_resolver_validate,icraft_md,15,20,16,0.8,20,1.0,20,1.0,0,0,0,5.25,1.0
selected_logistic_resolver_validate,rarebench,5,20,16,0.8,16,0.8,17,0.85,0,0,1,3.4,0.85
selected_logistic_resolver_validate,rarebench,10,20,17,0.85,17,0.85,17,0.85,0,0,1,4.65,0.85
selected_logistic_resolver_validate,rarebench,15,20,17,0.85,17,0.85,17,0.85,1,0,2,5.2,0.85
scale_internal_test_current,ALL,-1,180,144,0.8,152,0.8444444444444444,153,0.85,0,0,0,5.305555555555555,0.8722222222222222
scale_internal_test_current,ddxplus,5,20,14,0.7,17,0.85,17,0.85,0,0,0,4.35,0.9
scale_internal_test_current,ddxplus,10,20,16,0.8,16,0.8,17,0.85,0,0,0,7.35,0.85
scale_internal_test_current,ddxplus,15,20,17,0.85,17,0.85,17,0.85,0,0,0,9.5,0.85
scale_internal_test_current,icraft_md,5,20,19,0.95,20,1.0,20,1.0,0,0,0,3.05,1.0
scale_internal_test_current,icraft_md,10,20,19,0.95,20,1.0,20,1.0,0,0,0,4.05,1.0
scale_internal_test_current,icraft_md,15,20,19,0.95,20,1.0,20,1.0,0,0,0,5.0,1.0
scale_internal_test_current,rarebench,5,20,13,0.65,14,0.7,14,0.7,0,0,0,3.55,0.75
scale_internal_test_current,rarebench,10,20,14,0.7,14,0.7,14,0.7,0,0,0,5.0,0.75
scale_internal_test_current,rarebench,15,20,13,0.65,14,0.7,14,0.7,0,0,0,5.9,0.75
selected_logistic_resolver_internal_test,ALL,-1,180,143,0.7944444444444444,149,0.8277777777777777,152,0.8444444444444444,1,2,12,5.305555555555555,0.8722222222222222
