policy_name,scope,num_decisions,num_correct,accuracy,base_accuracy,wins_vs_base,regressions_vs_base,branch_rate,mean_branches_spawned,mean_selected_requests,mean_total_branch_requests
trigger=premature_stop_guard|budget=2|judge=base_reference,all_base_runs,245,216,0.8816326530612245,0.8816326530612245,0,0,0.22040816326530613,0.44081632653061226,6.726530612244898,9.93469387755102
trigger=premature_stop_guard|budget=2|judge=base_reference,n13_frozen,49,43,0.8775510204081632,0.8775510204081632,0,0,0.24489795918367346,0.4897959183673469,6.591836734693878,10.857142857142858
trigger=premature_stop_guard|budget=2|judge=base_reference,n24_base,49,45,0.9183673469387755,0.9183673469387755,0,0,0.22448979591836735,0.4489795918367347,6.204081632653061,9.591836734693878
trigger=premature_stop_guard|budget=2|judge=base_reference,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.40816326530612246,7.0,10.020408163265307
trigger=premature_stop_guard|budget=2|judge=base_reference,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.40816326530612246,7.020408163265306,9.510204081632653
trigger=premature_stop_guard|budget=2|judge=base_reference,n25_r03,49,42,0.8571428571428571,0.8571428571428571,0,0,0.22448979591836735,0.4489795918367347,6.816326530612245,9.693877551020408
trigger=premature_stop_guard|budget=2|judge=cautious_fused_judge,all_base_runs,245,218,0.889795918367347,0.8816326530612245,3,1,0.22040816326530613,0.44081632653061226,6.563265306122449,9.93469387755102
trigger=premature_stop_guard|budget=2|judge=cautious_fused_judge,n13_frozen,49,45,0.9183673469387755,0.8775510204081632,2,0,0.24489795918367346,0.4897959183673469,6.755102040816326,10.857142857142858
trigger=premature_stop_guard|budget=2|judge=cautious_fused_judge,n24_base,49,44,0.8979591836734694,0.9183673469387755,0,1,0.22448979591836735,0.4489795918367347,6.285714285714286,9.591836734693878
trigger=premature_stop_guard|budget=2|judge=cautious_fused_judge,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.40816326530612246,6.795918367346939,10.020408163265307
trigger=premature_stop_guard|budget=2|judge=cautious_fused_judge,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.40816326530612246,6.448979591836735,9.510204081632653
trigger=premature_stop_guard|budget=2|judge=cautious_fused_judge,n25_r03,49,43,0.8775510204081632,0.8571428571428571,1,0,0.22448979591836735,0.4489795918367347,6.530612244897959,9.693877551020408
trigger=premature_stop_guard|budget=2|judge=fused_consensus_judge,all_base_runs,245,218,0.889795918367347,0.8816326530612245,3,1,0.22040816326530613,0.44081632653061226,6.563265306122449,9.93469387755102
trigger=premature_stop_guard|budget=2|judge=fused_consensus_judge,n13_frozen,49,45,0.9183673469387755,0.8775510204081632,2,0,0.24489795918367346,0.4897959183673469,6.755102040816326,10.857142857142858
