policy_family,policy_name,uses_mlp_signal,final_head,policy_params,simplicity_rank,num_cases,mean_requests,median_requests,mean_revealed_root_count,forced_end_rate,rule_stop_rate,target_budget_gap,correct_count,accuracy,top3_accuracy,top5_accuracy,macro_f1
marginal_value,marginal_le_0.60_stab_0,False,agreement_hybrid_final,"{""marginal_value_max"": 0.6, ""min_requests"": 1, ""stability_min"": 0}",3,24,1.5833333333333333,1.0,2.5833333333333335,0.0,1.0,5.916666666666667,10,0.4166666666666667,0.625,0.7916666666666666,0.2924731182795699
llm_confidence,llm_conf_ge_0.65_stab_0,False,agreement_hybrid_final,"{""deterministic_stability_min"": 0, ""llm_confidence_min"": 0.65, ""min_requests"": 1}",1,24,1.7083333333333333,1.0,2.7083333333333335,0.0,1.0,5.791666666666667,11,0.4583333333333333,0.7083333333333334,0.7916666666666666,0.3471264367816092
llm_confidence,llm_conf_ge_0.70_stab_0,False,agreement_hybrid_final,"{""deterministic_stability_min"": 0, ""llm_confidence_min"": 0.7, ""min_requests"": 1}",1,24,2.125,1.0,3.125,0.0,1.0,5.375,13,0.5416666666666666,0.75,0.7916666666666666,0.4469135802469136
llm_confidence,llm_conf_ge_0.75_stab_0,False,agreement_hybrid_final,"{""deterministic_stability_min"": 0, ""llm_confidence_min"": 0.75, ""min_requests"": 1}",1,24,3.0,1.5,4.0,0.08333333333333333,0.9166666666666666,4.5,15,0.625,0.7916666666666666,0.8333333333333334,0.5178571428571429
deterministic_state,det_margin_ge_0.50_unres_le_0.40,False,agreement_hybrid_final,"{""margin_min"": 0.5, ""min_requests"": 1, ""stability_min"": 1, ""unresolved_max"": 0.4}",2,24,3.7083333333333335,2.0,4.708333333333333,0.0,1.0,3.7916666666666665,17,0.7083333333333334,0.7916666666666666,0.8333333333333334,0.62
llm_confidence,llm_conf_ge_0.70_stab_2,False,agreement_hybrid_final,"{""deterministic_stability_min"": 2, ""llm_confidence_min"": 0.7, ""min_requests"": 1}",1,24,4.25,4.0,5.25,0.0,1.0,3.25,18,0.75,0.7916666666666666,0.8333333333333334,0.6543209876543209
mlp_confidence,mlp_conf_ge_0.70_margin_ge_0.20_entropy_le_0.35_stab_0,True,agreement_hybrid_final,"{""min_requests"": 1, ""mlp_confidence_min"": 0.7, ""mlp_entropy_max"": 0.35, ""mlp_margin_min"": 0.2, ""mlp_stability_min"": 0}",2,24,5.125,3.0,6.125,0.0,1.0,2.375,20,0.8333333333333334,0.8333333333333334,0.875,0.7435897435897435
llm_mlp_agreement,agree_mlp_conf_ge_0.70_margin_ge_0.20_stab_0,True,agreement_hybrid_final,"{""min_requests"": 1, ""mlp_confidence_min"": 0.7, ""mlp_margin_min"": 0.2, ""mlp_stability_min"": 0}",1,24,5.291666666666667,3.0,6.291666666666667,0.0,1.0,2.208333333333333,21,0.875,0.875,0.9166666666666666,0.8133333333333332
mlp_confidence,mlp_conf_ge_0.70_margin_ge_0.20_entropy_le_0.10_stab_0,True,agreement_hybrid_final,"{""min_requests"": 1, ""mlp_confidence_min"": 0.7, ""mlp_entropy_max"": 0.1, ""mlp_margin_min"": 0.2, ""mlp_stability_min"": 0}",2,24,6.875,4.5,7.875,0.08333333333333333,0.9166666666666666,0.625,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666
marginal_value,marginal_le_0.60_stab_0,False,conservative_hybrid_final,"{""marginal_value_max"": 0.6, ""min_requests"": 1, ""stability_min"": 0}",3,24,1.5833333333333333,1.0,2.5833333333333335,0.0,1.0,5.916666666666667,10,0.4166666666666667,0.625,0.7916666666666666,0.2924731182795699
llm_confidence,llm_conf_ge_0.65_stab_0,False,conservative_hybrid_final,"{""deterministic_stability_min"": 0, ""llm_confidence_min"": 0.65, ""min_requests"": 1}",1,24,1.7083333333333333,1.0,2.7083333333333335,0.0,1.0,5.791666666666667,11,0.4583333333333333,0.7083333333333334,0.7916666666666666,0.3471264367816092
llm_confidence,llm_conf_ge_0.70_stab_0,False,conservative_hybrid_final,"{""deterministic_stability_min"": 0, ""llm_confidence_min"": 0.7, ""min_requests"": 1}",1,24,2.125,1.0,3.125,0.0,1.0,5.375,13,0.5416666666666666,0.75,0.7916666666666666,0.4469135802469136
llm_confidence,llm_conf_ge_0.75_stab_0,False,conservative_hybrid_final,"{""deterministic_stability_min"": 0, ""llm_confidence_min"": 0.75, ""min_requests"": 1}",1,24,3.0,1.5,4.0,0.08333333333333333,0.9166666666666666,4.5,15,0.625,0.7916666666666666,0.8333333333333334,0.5178571428571429
